player_name,start_date,tournament_id,tournament_name,event_type,tournament_start_date,course_name,round_id,green_id,green_name,hole_number,gir,par_round,sand,score,putts,in_position,tee_ball_location,approach_distance,putt_one_distance,putt_two_distance,putt_three_distance,putt_four_distance,putt_five_distance,second_shot,gir_of_third,go_for_location,lay_up_location,ball_position_x,ball_position_y,unit_system,distance_of_third,in_position_of_third,score_diff,scores_name,par_distance,yardage,shot,starting_distance
Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7150,36055,Hole 5,5,True,4,,4,2,True,fairway,160.0,23,3.0,,,,,,,,0.676923076923077,0.9025641025641026,imperial,,,0,par,4,457,1,457.0
Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7150,36054,Hole 4,4,True,4,,4,2,True,fairway,60.0,9,1.0,,,,,,,,0.6564102564102564,0.2897435897435897,imperial,,,0,par,4,414,1,414.0
Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7150,36053,Hole 3,3,False,3,False,4,2,False,,190.0,7,1.0,,,,,,,,0.0641025641025641,0.7282051282051282,imperial,,,1,bogey,3,0,1,190.0
Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7150,36052,Hole 2,2,True,4,,5,3,True,trap,130.0,45,10.0,1.0,,,,,,,0.5205128205128206,0.3461538461538461,imperial,,,1,bogey,4,389,1,389.0
Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7150,36051,Hole 1,1,True,4,,4,2,True,fairway,135.0,2,,,,,,,,,0.5564102564102564,0.6564102564102564,imperial,,,-1,birdie,4,393,1,393.0
Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7151,36068,Hole 18,18,True,4,,4,2,True,fairway,25.0,10,1.0,,,,,,,,0.3743589743589743,0.1589743589743589,imperial,,,0,par,4,429,1,429.0
Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7151,36067,Hole 17,17,True,3,,3,2,True,,135.0,30,1.0,,,,,,,,0.5846153846153846,0.2615384615384615,imperial,,,0,par,3,0,1,135.0
Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7151,36066,Hole 16,16,True,4,,4,2,True,fairway,50.0,20,4.0,,,,,,,,0.7487179487179487,0.3871794871794872,imperial,,,0,par,4,452,1,452.0
Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7151,36065,Hole 15,15,False,4,True,5,2,True,fairway,180.0,5,1.0,,,,,,,,0.8564102564102564,0.4615384615384615,imperial,,,1,bogey,4,455,1,455.0
Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7151,36064,Hole 14,14,True,5,,4,2,True,fairway,217.0,26,1.0,,,,goFor,,,,0.441025641025641,0.1743589743589743,imperial,,,-1,birdie,5,528,1,528.0
Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7151,36063,Hole 13,13,True,3,,3,2,True,,160.0,25,1.0,,,,,,,,0.5948717948717949,0.4487179487179487,imperial,,,0,par,3,0,1,160.0
Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7151,36062,Hole 12,12,True,5,,6,3,True,fairway,290.0,20,4.0,1.0,,,goFor,,,,0.3871794871794872,0.3743589743589743,imperial,,,1,bogey,5,596,1,596.0
Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7151,36061,Hole 11,11,True,4,,4,2,True,fairway,109.0,10,1.0,,,,,,,,0.4641025641025641,0.5025641026,imperial,,,0,par,4,412,1,412.0
Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7151,36060,Hole 10,10,True,4,,4,2,True,fairway,45.0,26,6.0,,,,,,,,0.4333333333333333,0.141025641,imperial,,,0,par,4,424,1,424.0
Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7151,36059,Hole 9,9,True,5,,5,2,True,fairway,267.0,14,1.0,,,,goFor,,,,0.5230769230769231,0.3256410256410256,imperial,,,0,par,5,561,1,561.0
Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7151,36058,Hole 8,8,True,3,,2,1,True,,155.0,10,,,,,,,,,0.5769230769230769,0.4256410256410256,imperial,,,-1,birdie,3,0,1,155.0
Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7151,36057,Hole 7,7,True,4,,4,2,True,fairway,70.0,24,1.0,,,,,,,,0.482051282051282,0.3717948717948718,imperial,,,0,par,4,442,1,442.0
Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7151,36056,Hole 6,6,True,5,,5,2,,penalty,,15,1.0,,,,,,,,0.7923076923076923,0.2282051282051282,imperial,,,1,bogey,5,544,1,544.0
Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7151,36055,Hole 5,5,True,4,,4,2,True,fairway,167.0,16,5.0,,,,,,,,0.3102564102564102,0.1153846153846153,imperial,,,0,par,4,457,1,457.0
Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7151,36054,Hole 4,4,True,4,,4,2,True,fairway,54.0,28,1.0,,,,,,,,0.4487179487179487,0.1,imperial,,,0,par,4,414,1,414.0
Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7151,36053,Hole 3,3,True,3,,3,2,True,,190.0,22,3.0,,,,,,,,0.4897435897435897,0.5025641025641026,imperial,,,0,par,3,0,1,190.0
Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7151,36052,Hole 2,2,False,4,True,5,2,False,fairway,134.0,13,1.0,,,,,,,,0.3307692307692307,0.964102564102564,imperial,,,1,bogey,4,389,1,389.0
Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7151,36051,Hole 1,1,True,4,,3,1,True,fairway,109.0,1,,,,,,,,,0.735897435897436,0.3256410256410256,imperial,,,-1,birdie,4,393,1,393.0
